-0.001626 -0.065102 0.997877

# Image: frame_00051.jpg
0.999887 0.014261 0.004739
-0.014546 0.997653 0.066912
-0.003774 -0.066973 0.997748

# Image: frame_00054.jpg
0.999871 0.016028 -0.000972
-0.015942 0.998104 0.059451
0.001923 -0.059428 0.998231

# Image: frame_00055.jpg
0.999869 0.016063 -0.002162
-0.015916 0.998278 0.056459
0.003065 -0.056417 0.998403

# Image: frame_00053.jpg
0.999879 0.015534 0.000521
-0.015536 0.997932 0.062381
0.000450 -0.062381 0.998052

# Image: frame_00056.jpg
0.999858 0.016473 -0.003495
-0.016271 0.998534 0.051624
0.004340 -0.051560 0.998660

# Image: frame_00050.jpg
0.999879 0.014201 0.006376
-0.014602 0.997579 0.067988
-0.005395 -0.068073 0.997666

# Image: frame_00057.jpg
0.999855 0.016080 -0.005585
-0.015806 0.998813 0.046074
0.006320 -0.045980 0.998922

# Image: frame_00058.jpg
0.999849 0.015819 -0.007165
-0.015512 0.999040 0.040978
0.007806 -0.040860 0.999134

# Image: frame_00059.jpg
0.999847 0.015552 -0.008042
-0.015240 0.999179 0.037530
0.008619 -0.037402 0.999263

# Image: frame_00060.jpg
0.999843 0.015371 -0.008829
-0.015052 0.999270 0.035106
0.009363 -0.034967 0.999345

# Image: frame_00061.jpg
0.999843 0.015102 -0.009257
-0.014790 0.999351 0.032845
0.009747 -0.032703 0.999418

# Image: frame_00063.jpg
0.999864 0.014190 -0.008441
-0.013936 0.999470 0.029422
0.008854 -0.029300 0.999531

# Image: frame_00064.jpg
0.999877 0.013737 -0.007553
-0.013519 0.999510 0.028238
0.007937 -0.028132 0.999573

# Image: frame_00062.jpg
0.999848 0.014680 -0.009376
-0.014387 0.999431 0.030521
0.009819 -0.030381 0.999490

# Image: frame_00065.jpg
0.999890 0.013310 -0.006534
-0.013128 0.999548 0.027048
0.006891 -0.026959 0.999613

# Image: frame_00069.jpg
0.999934 0.011073 -0.002992
-0.011004 0.999699 0.021921
0.003234 -0.021887 0.999755

# Image: frame_00070.jpg
0.999941 0.010429 -0.002983
-0.010366 0.999737 0.020458
0.003196 -0.020426 0.999786

# Image: frame_00067.jpg
0.999918 0.011948 -0.004602
-0.011833 0.999638 0.024181
0.004889 -0.024125 0.999697

# Image: frame_00066.jpg
0.999904 0.012772 -0.005415
-0.012629 0.999592 0.025603
0.005740 -0.025532 0.999658

# Image: frame_00068.jpg
0.999925 0.011716 -0.003517
-0.011631 0.999660 0.023331
0.003789 -0.023288 0.999722

# Image: frame_00072.jpg
0.999946 0.010042 -0.002840
-0.009986 0.999772 0.018867
0.003029 -0.018838 0.999818

# Image: frame_00073.jpg
0.999952 0.009451 -0.002665
-0.009404 0.999804 0.017397
0.002829 -0.017371 0.999845

# Image: frame_00075.jpg
0.999964 0.008163 -0.002500
-0.008124 0.999851 0.015245
0.002624 -0.015224 0.999881

# Image: frame_00074.jpg
0.999959 0.008745 -0.002389
-0.008705 0.999829 0.016301
0.002531 -0.016280 0.999864

# Image: frame_00078.jpg
0.999967 0.007359 -0.003516
-0.007311 0.999886 0.013211
0.003613 -0.013185 0.999907

# Image: frame_00076.jpg
0.999961 0.008268 -0.003038
-0.008223 0.999857 0.014768
0.003160 -0.014742 0.999886

# Image: frame_00077.jpg
0.999965 0.007759 -0.003278
-0.007713 0.999876 0.013749
0.003384 -0.013723 0.999900

# Image: frame_00071.jpg
0.999946 0.009934 -0.003017
-0.009874 0.999761 0.019529
0.003210 -0.019498 0.999805

# Image: frame_00079.jpg
0.999960 0.007840 -0.004338
-0.007786 0.999895 0.012259
0.004434 -0.012225 0.999915

# Image: frame_00081.jpg
0.999955 0.007572 -0.005760
-0.007504 0.999904 0.011672
0.005848 -0.011629 0.999915

# Image: frame_00080.jpg
0.999961 0.007336 -0.004907
-0.007278 0.999905 0.011701
0.004993 -0.011665 0.999919

# Image: frame_00082.jpg
0.999951 0.007611 -0.006392
-0.007540 0.999910 0.011090
0.006476 -0.011042 0.999918

# Image: frame_00083.jpg
0.999944 0.007518 -0.007485
-0.007435 0.999911 0.011060
0.007567 -0.011004 0.999911

# Image: frame_00084.jpg
0.999940 0.007248 -0.008251
-0.007161 0.999918 0.010575
0.008327 -0.010515 0.999910

# Image: frame_00085.jpg
0.999935 0.006848 -0.009150
-0.006746 0.999916 0.011077
0.009225 -0.011015 0.999897

# Image: frame_00086.jpg
0.999926 0.006509 -0.010251
-0.006394 0.999917 0.011149
0.010323 -0.011083 0.999885

# Image: frame_00087.jpg
0.999922 0.006146 -0.010903
-0.006026 0.999921 0.011000
0.010970 -0.010933 0.999880

# Image: frame_00089.jpg
0.999910 0.005730 -0.012168
-0.005593 0.999921 0.011237
0.012231 -0.011168 0.999863

# Image: frame_00088.jpg
0.999919 0.005597 -0.011424
-0.005468 0.999921 0.011274
0.011486 -0.011210 0.999871

# Image: frame_00095.jpg
0.999864 0.003314 -0.016175
-0.003087 0.999897 0.013981
0.016220 -0.013929 0.999771

# Image: frame_00091.jpg
0.999890 0.005269 -0.013829
-0.005105 0.999917 0.011858
0.013890 -0.011786 0.999834

# Image: frame_00090.jpg
0.999903 0.005170 -0.012931
-0.005024 0.999923 0.011312
0.012989 -0.011246 0.999852

# Image: frame_00097.jpg
0.999864 0.000989 -0.016439
-0.000702 0.999847 0.017473
0.016453 -0.017459 0.999712

# Image: frame_00098.jpg
0.999869 -0.000100 -0.016206
0.000406 0.999822 0.018885
0.016201 -0.018889 0.999690

# Image: frame_00099.jpg
0.999872 -0.000869 -0.015946
0.001183 0.999805 0.019691
0.015926 -0.019707 0.999679

# Image: frame_00100.jpg
0.999878 -0.001506 -0.015573
0.001809 0.999809 0.019480
0.015541 -0.019506 0.999689

# Image: frame_00101.jpg
0.999887 -0.001813 -0.014909
0.002096 0.999818 0.018969
0.014872 -0.018998 0.999709

# Image: frame_00103.jpg
0.999895 -0.002510 -0.014264
0.002786 0.999809 0.019367
