# Image: frame_00105.jpg
0.503854 -0.011845 -0.718138

# Image: frame_00096.jpg
1.419479 1.353021 0.310327

# Image: frame_00107.jpg
0.369265 -0.270800 -0.817057

# Image: frame_00108.jpg
0.310151 -0.371262 -0.874631

# Image: frame_00110.jpg
0.173247 -0.654875 -1.058587

# Image: frame_00109.jpg
0.263918 -0.469661 -0.959004

# Image: frame_00111.jpg
0.092977 -0.795197 -1.067868

# Image: frame_00102.jpg
0.679087 0.318296 -0.470942

# Image: frame_00112.jpg
0.055463 -0.817581 -1.096553

# Image: frame_00106.jpg
0.464615 -0.091099 -0.783001

# Image: frame_00114.jpg
-0.031979 -1.016034 -0.793032

# Image: frame_00113.jpg
-0.023679 -1.010740 -0.806939

# Image: frame_00117.jpg
-0.116163 -1.201803 -0.565215

# Image: frame_00118.jpg
-0.144395 -1.226867 -0.524037

# Image: frame_00119.jpg
-0.150624 -1.247690 -0.482995

# Image: frame_00120.jpg
-0.154251 -1.264341 -0.435214

# Image: frame_00121.jpg
-0.159268 -1.267767 -0.434957

# Image: frame_00122.jpg
-0.167153 -1.279290 -0.393888

# Image: frame_00116.jpg
-0.068965 -1.148603 -0.581483

# Image: frame_00115.jpg
-0.039426 -1.026009 -0.772272

# Image: frame_00126.jpg
-0.174148 -1.255275 -0.406020

# Image: frame_00127.jpg
-0.176546 -1.236769 -0.452001

# Image: frame_00128.jpg
-0.175349 -1.220736 -0.478839

# Image: frame_00123.jpg
-0.169308 -1.276457 -0.398080

# Image: frame_00129.jpg
-0.195913 -1.149904 -0.526225

# Image: frame_00131.jpg
-0.183501 -1.080169 -0.588300

# Image: frame_00130.jpg
-0.189516 -1.131354 -0.554002

# Image: frame_00132.jpg
-0.183109 -1.043986 -0.631547

# Image: frame_00124.jpg
-0.172134 -1.268651 -0.391015

# Image: frame_00133.jpg
-0.196211 -0.989641 -0.706341

# Image: frame_00135.jpg
-0.179263 -0.930094 -0.857935

# Image: frame_00125.jpg
-0.176783 -1.259649 -0.401072

# Image: frame_00136.jpg
-0.194264 -0.959032 -0.753619

# Image: frame_00134.jpg
-0.184560 -0.962190 -0.777278

# Image: frame_00137.jpg
-0.205668 -0.951699 -0.671418

# Image: frame_00139.jpg
-0.196036 -0.914202 -0.769085

# Image: frame_00140.jpg
-0.191702 -0.903443 -0.802897

# Image: frame_00141.jpg
-0.187712 -0.884404 -0.858644

# Image: frame_00142.jpg
-0.184627 -0.871864 -0.901889

# Image: frame_00143.jpg
-0.181680 -0.879108 -0.879949

# Image: frame_00144.jpg
-0.181194 -0.875833 -0.887183

# Image: frame_00138.jpg
-0.188047 -0.936353 -0.741881

# Image: frame_00149.jpg
-0.086939 -0.489236 -1.790458

# Image: frame_00147.jpg
-0.176230 -0.872996 -0.910544

# Image: frame_00145.jpg
-0.179969 -0.874881 -0.893106

# Image: frame_00152.jpg
-0.052043 -0.446071 -1.857512

# Image: frame_00148.jpg
-0.177464 -0.871309 -0.921820

# Image: frame_00153.jpg
-0.058527 -0.462867 -1.793496

# Image: frame_00154.jpg
-0.072513 -0.498908 -1.657698

# Image: frame_00150.jpg
-0.087311 -0.501591 -1.651757

# Image: frame_00146.jpg
-0.095115 -0.652799 -1.610434

# Image: frame_00157.jpg
0.007575 -0.384467 -2.081532

# Image: frame_00156.jpg
0.012259 -0.391109 -2.046926

# Image: frame_00151.jpg
-0.068032 -0.426369 -1.926096

# Image: frame_00158.jpg
0.046534 -0.384427 -1.975563

# Image: frame_00155.jpg
-0.044799 -0.461639 -1.754432

# Image: frame_00160.jpg
0.125443 -0.360358 -2.340663

# Image: frame_00161.jpg
0.137666 -0.348504 -2.298350

# Image: frame_00159.jpg
0.149200 -0.350608 -2.380573

# Image: frame_00163.jpg
0.152675 -0.328478 -2.263399

# Image: frame_00165.jpg
0.151928 -0.332586 -2.248966

# Image: frame_00164.jpg
0.149645 -0.336194 -2.233656

# Image: frame_00167.jpg
0.148958 -0.340735 -2.228507

# Image: frame_00166.jpg
0.149169 -0.339288 -2.227423

# Image: frame_00162.jpg
0.134942 -0.355360 -2.206805

# Image: frame_00169.jpg
0.188330 -0.260816 -2.473131

# Image: frame_00168.jpg
0.164381 -0.320922 -2.248712

# Image: frame_00170.jpg
0.155357 -0.286238 -2.236307

# Image: frame_00172.jpg
0.190321 -0.198590 -2.517437

# Image: frame_00173.jpg
0.213526 -0.084088 -2.462057

# Image: frame_00178.jpg
0.360603 0.170746 -2.334124

# Image: frame_00175.jpg
0.214968 -0.116402 -2.502537

# Image: frame_00179.jpg
0.370712 0.326330 -2.191439

# Image: frame_00180.jpg
0.209127 0.331529 -2.178394

# Image: frame_00177.jpg
0.234641 0.043910 -2.363726

# Image: frame_00171.jpg
0.189486 -0.207835 -2.484350

# Image: frame_00176.jpg
0.209706 -0.087419 -2.578172

# Image: frame_00174.jpg
0.199165 -0.105304 -2.527894

# Image: frame_00181.jpg
0.490876 1.084806 -2.226855

# Image: frame_00184.jpg
0.438816 1.473162 -2.583736

# Image: frame_00182.jpg
0.250324 0.470933 -2.553324

# Image: frame_00183.jpg
0.461343 1.358586 -2.422893

# Image: frame_00186.jpg
0.391951 1.570130 -2.601814

# Image: frame_00187.jpg
0.398700 1.652013 -2.761096

# Image: frame_00188.jpg
0.367244 1.700907 -2.748406

# Image: frame_00189.jpg
0.364216 1.763314 -2.824757

# Image: frame_00190.jpg
0.354287 1.798815 -2.875461

# Image: frame_00191.jpg
0.336694 1.843994 -2.909668

# Image: frame_00185.jpg
0.413725 1.493166 -2.503029

# Image: frame_00192.jpg
0.302932 1.874439 -2.992815

# Image: frame_00194.jpg
0.246349 1.976956 -3.248057

# Image: frame_00195.jpg
0.205715 2.038036 -3.317277

# Image: frame_00197.jpg
0.128835 2.101805 -3.385377

# Image: frame_00193.jpg
0.280741 1.931878 -3.125839

# Image: frame_00196.jpg
0.172922 2.077592 -3.375231

# Image: frame_00198.jpg
0.118785 2.151058 -3.464811

# Image: frame_00200.jpg
0.070343 2.233645 -3.520420

# Image: frame_00199.jpg
0.079542 2.194657 -3.515453

# Image: frame_00201.jpg
0.068709 2.283571 -3.549826

# Image: frame_00202.jpg
0.060609 2.314772 -3.513107

# Image: frame_00206.jpg
0.036290 2.394546 -3.370833

# Image: frame_00205.jpg
0.042208 2.374798 -3.397123

