Frame 68: [425.19, 647.98], [450.04, 645.39], [425.83, 704.72], [449.45, 712.23]
Frame 69: [425.21, 647.53], [450.10, 645.02], [425.82, 704.36], [449.43, 711.84]
Frame 70: [425.33, 646.82], [450.26, 644.33], [426.04, 703.74], [449.50, 711.32]
Frame 71: [425.40, 646.62], [450.26, 644.29], [426.07, 703.57], [450.64, 711.27]
Frame 72: [425.41, 646.44], [450.25, 643.88], [426.06, 703.45], [450.51, 711.20]
Frame 73: [425.42, 646.44], [450.25, 643.87], [426.06, 703.45], [450.52, 711.17]
Frame 74: [425.42, 646.30], [450.33, 643.67], [426.23, 703.22], [450.77, 710.91]
Frame 75: [425.55, 645.50], [450.52, 642.94], [426.40, 702.59], [450.56, 710.19]
Frame 76: [425.73, 645.22], [450.51, 642.74], [426.59, 702.30], [450.38, 709.84]
Frame 77: [425.74, 645.11], [450.51, 642.57], [426.59, 702.27], [450.68, 709.69]
Frame 78: [425.74, 645.11], [450.51, 642.57], [426.59, 702.27], [450.68, 709.69]
Frame 79: [425.78, 644.86], [450.50, 642.33], [426.56, 701.95], [450.89, 709.55]
Frame 80: [425.90, 644.36], [450.67, 641.97], [426.58, 701.58], [451.38, 709.26]
Frame 81: [425.93, 644.12], [450.67, 641.95], [426.72, 701.40], [451.76, 709.16]
Frame 82: [425.93, 644.12], [450.67, 641.95], [426.72, 701.40], [451.76, 709.16]
Frame 83: [425.93, 643.94], [450.69, 641.72], [426.69, 701.18], [452.47, 709.13]
Frame 84: [425.96, 643.83], [450.82, 641.43], [426.85, 700.99], [452.53, 709.03]
Frame 85: [426.19, 643.31], [450.94, 640.86], [427.06, 700.64], [452.60, 708.59]
Frame 86: [426.20, 643.16], [450.94, 640.70], [427.06, 700.47], [452.56, 708.45]
Frame 87: [426.18, 642.97], [450.94, 640.58], [427.11, 700.37], [453.10, 708.30]
Frame 88: [426.18, 642.97], [450.94, 640.58], [427.11, 700.37], [453.07, 708.30]
Frame 89: [426.21, 642.74], [451.11, 640.47], [427.27, 700.16], [453.32, 708.16]
Frame 90: [426.37, 642.28], [451.18, 639.95], [427.44, 699.70], [453.30, 707.73]
Frame 91: [426.53, 642.04], [451.34, 639.64], [427.53, 699.54], [453.58, 707.56]
Frame 92: [426.54, 642.04], [451.37, 639.66], [427.48, 699.46], [453.58, 707.48]
Frame 93: [426.54, 642.04], [451.37, 639.66], [427.48, 699.46], [453.59, 707.48]
Frame 94: [426.58, 641.65], [451.53, 639.22], [427.66, 699.13], [454.23, 707.34]
Frame 95: [426.74, 641.24], [451.70, 638.81], [427.89, 698.62], [454.77, 706.91]
Frame 96: [426.84, 641.06], [451.73, 638.62], [427.93, 698.57], [454.93, 706.81]
Frame 97: [426.85, 641.06], [451.73, 638.61], [427.92, 698.57], [454.93, 706.80]
Frame 98: [426.94, 640.95], [451.74, 638.54], [428.18, 698.52], [455.03, 706.77]
Frame 99: [426.94, 640.73], [451.90, 638.19], [428.19, 698.34], [455.06, 706.59]
Frame 100: [427.19, 640.33], [452.19, 637.76], [428.42, 697.88], [455.08, 706.10]
Frame 101: [427.36, 640.13], [452.19, 637.65], [428.52, 697.78], [455.58, 706.19]
Frame 102: [427.31, 639.98], [452.19, 637.44], [428.52, 697.73], [455.67, 706.12]
Frame 103: [427.32, 639.98], [452.19, 637.44], [428.51, 697.73], [455.67, 706.13]
Frame 104: [427.39, 639.89], [452.17, 637.23], [428.61, 697.54], [455.84, 705.88]
Frame 105: [427.70, 639.30], [452.54, 636.81], [428.77, 697.07], [455.97, 705.47]
Frame 106: [427.71, 639.09], [452.74, 636.47], [428.91, 696.88], [456.11, 705.41]
Frame 107: [427.75, 639.05], [452.78, 636.18], [428.96, 696.86], [455.99, 705.27]
